,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies
5238,10000.0, 36 months,6.49,306.45,A,10+ years,OWN,150000.0,Source Verified,Dec-2015,Fully Paid,credit_card,19.66,0.0,Sep-1990,705.0,709.0,1.0,18.0,0.0,24530.0,27.9,34.0,Individual,4.0,0.0
5760,20000.0, 60 months,14.85,474.23,C,< 1 year,MORTGAGE,75000.0,Source Verified,Dec-2015,Charged Off,credit_card,11.68,0.0,Jun-1999,670.0,674.0,1.0,8.0,1.0,5748.0,35.5,28.0,Individual,1.0,0.0
1046,17600.0, 36 months,23.13,682.49,F,< 1 year,RENT,40000.0,Verified,Dec-2015,Fully Paid,credit_card,39.23,0.0,Dec-1987,680.0,684.0,1.0,13.0,0.0,35967.0,94.6,17.0,Individual,0.0,0.0
4801,12000.0, 36 months,5.32,361.38,A,8 years,MORTGAGE,77000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,15.87,0.0,Jan-2001,750.0,754.0,0.0,19.0,1.0,15799.0,17.1,42.0,Individual,1.0,0.0
9221,7600.0, 36 months,14.48,261.53,C,,MORTGAGE,65000.0,Verified,Dec-2015,Charged Off,debt_consolidation,14.86,1.0,Dec-1987,660.0,664.0,1.0,7.0,0.0,5508.0,61.9,20.0,Individual,1.0,0.0
4106,25950.0, 60 months,18.99,673.02,E,10+ years,MORTGAGE,59000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,20.93,0.0,Sep-1998,700.0,704.0,0.0,14.0,0.0,38922.0,54.4,29.0,Individual,4.0,0.0
6204,14775.0, 36 months,13.99,504.91,C,< 1 year,RENT,57200.0,Verified,Dec-2015,Fully Paid,debt_consolidation,29.88,0.0,Dec-2003,715.0,719.0,0.0,10.0,0.0,21994.0,51.8,23.0,Individual,0.0,0.0
8097,21200.0, 36 months,11.22,696.28,B,9 years,RENT,53000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,17.05,0.0,Nov-2000,700.0,704.0,0.0,11.0,0.0,33686.0,50.8,22.0,Individual,0.0,0.0
1847,15000.0, 36 months,6.49,459.67,A,5 years,RENT,74000.0,Source Verified,Dec-2015,Fully Paid,credit_card,15.87,0.0,Nov-2004,705.0,709.0,0.0,5.0,0.0,14792.0,48.8,16.0,Individual,0.0,0.0
8604,12000.0, 60 months,9.76,253.55,B,4 years,MORTGAGE,74000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,6.31,0.0,May-2003,705.0,709.0,0.0,11.0,0.0,17828.0,53.7,27.0,Individual,5.0,0.0
2359,5000.0, 36 months,17.97,180.69,D,9 years,RENT,24500.0,Verified,Dec-2015,Charged Off,debt_consolidation,24.55,0.0,Jan-1994,690.0,694.0,0.0,8.0,0.0,13902.0,100.7,10.0,Individual,0.0,0.0
4488,3000.0, 36 months,11.48,98.9,B,3 years,MORTGAGE,55000.0,Source Verified,Dec-2015,Fully Paid,other,3.53,0.0,Dec-2009,700.0,704.0,0.0,3.0,0.0,8640.0,78.5,10.0,Individual,1.0,0.0
7070,15000.0, 36 months,11.48,494.5,B,5 years,MORTGAGE,95000.0,Not Verified,Dec-2015,Charged Off,credit_card,17.47,0.0,Jun-2000,730.0,734.0,0.0,9.0,0.0,42317.0,78.7,14.0,Individual,1.0,0.0
5172,21500.0, 36 months,12.88,723.18,C,< 1 year,MORTGAGE,170000.0,Not Verified,Dec-2015,Fully Paid,major_purchase,20.25,1.0,Feb-1997,675.0,679.0,0.0,14.0,1.0,14549.0,22.8,41.0,Individual,6.0,0.0
6564,25000.0, 36 months,6.99,771.82,A,10+ years,MORTGAGE,160000.0,Not Verified,Dec-2015,Fully Paid,credit_card,18.18,0.0,Sep-1988,755.0,759.0,0.0,33.0,0.0,49694.0,24.3,44.0,Individual,2.0,0.0
2319,7000.0, 36 months,9.17,223.16,B,10+ years,MORTGAGE,109000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,33.02,2.0,Oct-1983,670.0,674.0,1.0,15.0,0.0,52129.0,78.0,33.0,Individual,2.0,0.0
4109,17500.0, 36 months,12.88,588.64,C,10+ years,OWN,95700.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,10.09,0.0,Jan-1991,665.0,669.0,0.0,10.0,0.0,11625.0,75.0,29.0,Individual,3.0,0.0
217,15000.0, 60 months,7.91,303.51,A,5 years,RENT,90000.0,Verified,Dec-2015,Charged Off,debt_consolidation,17.07,0.0,Aug-2001,685.0,689.0,1.0,20.0,0.0,20125.0,62.0,25.0,Individual,0.0,0.0
3827,15000.0, 36 months,11.48,494.5,B,8 years,RENT,70000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,31.08,2.0,Jan-2001,670.0,674.0,1.0,16.0,0.0,20731.0,65.2,30.0,Individual,1.0,0.0
3079,5000.0, 36 months,10.78,163.18,B,,OWN,14400.0,Verified,Dec-2015,Charged Off,debt_consolidation,12.25,0.0,Mar-1987,670.0,674.0,0.0,4.0,1.0,4085.0,63.8,5.0,Individual,0.0,1.0
619,24000.0, 36 months,7.49,746.44,A,10+ years,RENT,107000.0,Source Verified,Dec-2015,Fully Paid,car,15.15,0.0,Jul-1984,765.0,769.0,0.0,13.0,0.0,23594.0,34.8,22.0,Individual,0.0,0.0
2036,12000.0, 36 months,10.78,391.62,B,< 1 year,RENT,81900.0,Source Verified,Dec-2015,Fully Paid,credit_card,11.59,1.0,Sep-2004,685.0,689.0,0.0,16.0,0.0,10874.0,41.2,34.0,Individual,0.0,0.0
1990,10375.0, 60 months,19.89,274.24,E,10+ years,OWN,100000.0,Verified,Dec-2015,Fully Paid,medical,8.89,0.0,Sep-1998,685.0,689.0,1.0,11.0,0.0,24312.0,77.9,27.0,Individual,3.0,0.0
4318,15000.0, 36 months,9.8,482.61,B,10+ years,RENT,90000.0,Verified,Dec-2015,Fully Paid,credit_card,33.75,13.0,Jan-1996,660.0,664.0,3.0,8.0,1.0,5215.0,32.0,55.0,Individual,1.0,1.0
3588,35000.0, 60 months,16.59,862.15,D,2 years,MORTGAGE,137500.0,Verified,Dec-2015,Charged Off,debt_consolidation,34.26,1.0,Sep-2000,685.0,689.0,0.0,29.0,0.0,88142.0,92.5,40.0,Individual,1.0,0.0
9759,3600.0, 36 months,18.2,130.52,E,2 years,RENT,25000.0,Source Verified,Dec-2015,Charged Off,other,24.58,0.0,Feb-2012,665.0,669.0,4.0,10.0,0.0,3876.0,28.5,12.0,Individual,0.0,0.0
3513,7000.0, 36 months,9.8,225.22,B,10+ years,RENT,36000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,21.4,0.0,Feb-2006,710.0,714.0,1.0,18.0,1.0,16479.0,36.0,30.0,Individual,0.0,0.0
5058,17600.0, 36 months,10.78,574.37,B,1 year,MORTGAGE,52000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,26.86,0.0,Feb-2003,690.0,694.0,1.0,13.0,0.0,10317.0,58.6,31.0,Individual,1.0,0.0
7997,12000.0, 60 months,14.48,282.22,C,10+ years,MORTGAGE,87000.0,Verified,Dec-2015,Charged Off,debt_consolidation,32.57,0.0,Apr-2003,690.0,694.0,2.0,10.0,0.0,11985.0,95.9,22.0,Individual,6.0,0.0
9172,18000.0, 36 months,14.48,619.41,C,6 years,MORTGAGE,100000.0,Verified,Dec-2015,Fully Paid,home_improvement,32.74,0.0,Apr-2008,675.0,679.0,2.0,17.0,0.0,56574.0,47.4,21.0,Individual,1.0,0.0
7549,28000.0, 36 months,5.32,843.22,A,10+ years,MORTGAGE,105000.0,Not Verified,Dec-2015,Fully Paid,credit_card,17.62,0.0,Jun-1996,740.0,744.0,0.0,15.0,0.0,32566.0,32.6,26.0,Individual,1.0,0.0
8,10000.0, 36 months,6.49,306.45,A,6 years,RENT,85000.0,Not Verified,Dec-2015,Fully Paid,credit_card,13.07,0.0,Apr-2002,685.0,689.0,1.0,14.0,1.0,10464.0,34.5,23.0,Individual,1.0,1.0
428,21600.0, 36 months,8.49,681.76,B,2 years,MORTGAGE,60000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,17.42,0.0,Nov-2007,685.0,689.0,0.0,10.0,0.0,11037.0,67.7,22.0,Individual,1.0,0.0
9368,16000.0, 36 months,11.22,525.49,B,9 years,RENT,48000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,14.58,0.0,Feb-1997,710.0,714.0,0.0,9.0,0.0,19530.0,82.4,10.0,Individual,0.0,0.0
1344,9000.0, 36 months,11.99,298.89,C,10+ years,OWN,76000.0,Not Verified,Dec-2015,Fully Paid,small_business,21.51,1.0,Jun-2004,715.0,719.0,0.0,8.0,0.0,15779.0,64.7,28.0,Individual,4.0,0.0
3668,5000.0, 36 months,17.27,178.94,D,10+ years,MORTGAGE,65000.0,Verified,Dec-2015,Fully Paid,other,14.03,0.0,Oct-2002,660.0,664.0,1.0,13.0,0.0,9338.0,42.3,20.0,Individual,3.0,0.0
6308,10000.0, 36 months,9.8,321.74,B,< 1 year,MORTGAGE,38000.0,Source Verified,Dec-2015,Fully Paid,home_improvement,33.95,0.0,Dec-2008,665.0,669.0,0.0,12.0,1.0,10359.0,43.0,13.0,Individual,0.0,1.0
6087,11000.0, 36 months,10.78,358.99,B,5 years,RENT,39000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,12.74,0.0,Oct-2007,670.0,674.0,1.0,16.0,0.0,8108.0,24.1,31.0,Individual,0.0,0.0
7177,3000.0, 36 months,9.17,95.64,B,6 years,MORTGAGE,55000.0,Not Verified,Dec-2015,Fully Paid,home_improvement,5.28,0.0,Jul-1993,675.0,679.0,1.0,5.0,0.0,5748.0,43.9,9.0,Individual,1.0,0.0
5347,18000.0, 36 months,6.99,555.71,A,7 years,RENT,125000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,14.15,0.0,Jul-2001,775.0,779.0,0.0,11.0,0.0,16027.0,20.1,28.0,Individual,2.0,0.0
2187,8000.0, 36 months,7.91,250.36,A,5 years,OWN,65000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,14.9,0.0,Dec-2001,715.0,719.0,1.0,5.0,0.0,4989.0,32.8,32.0,Individual,0.0,0.0
2163,15500.0, 36 months,14.85,536.18,C,4 years,MORTGAGE,50000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,25.54,2.0,Aug-1994,665.0,669.0,0.0,9.0,0.0,6170.0,81.2,24.0,Individual,3.0,0.0
2716,17750.0, 60 months,9.17,369.93,B,5 years,MORTGAGE,47000.0,Not Verified,Dec-2015,Fully Paid,credit_card,28.12,0.0,Aug-1994,730.0,734.0,0.0,8.0,0.0,44719.0,68.6,10.0,Individual,1.0,0.0
4539,7675.0, 36 months,18.49,279.36,D,8 years,MORTGAGE,50000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,18.7,0.0,Apr-1999,680.0,684.0,1.0,8.0,0.0,1345.0,44.8,14.0,Individual,0.0,0.0
1715,15000.0, 36 months,6.99,463.09,A,3 years,MORTGAGE,80000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,6.96,0.0,May-1994,725.0,729.0,3.0,7.0,0.0,26532.0,35.3,13.0,Individual,2.0,0.0
1053,24000.0, 60 months,7.91,485.61,A,8 years,MORTGAGE,116250.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,19.88,0.0,Jun-1987,710.0,714.0,0.0,13.0,0.0,33832.0,49.3,20.0,Individual,2.0,0.0
3269,24150.0, 60 months,19.48,632.86,E,2 years,MORTGAGE,56000.0,Verified,Dec-2015,Charged Off,debt_consolidation,22.7,0.0,Jun-2011,660.0,664.0,0.0,9.0,0.0,9086.0,88.0,10.0,Individual,1.0,0.0
2596,11525.0, 36 months,14.85,398.68,C,1 year,MORTGAGE,40000.0,Source Verified,Dec-2015,Fully Paid,other,16.68,2.0,Mar-2006,665.0,669.0,1.0,22.0,0.0,11781.0,26.2,29.0,Individual,0.0,0.0
5831,21000.0, 36 months,5.32,632.42,A,1 year,RENT,55000.0,Not Verified,Dec-2015,Fully Paid,credit_card,25.13,1.0,Oct-2007,710.0,714.0,2.0,15.0,0.0,26651.0,29.8,23.0,Individual,0.0,0.0
6461,3600.0, 36 months,14.85,124.54,C,6 years,RENT,60000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,8.3,0.0,Nov-2005,670.0,674.0,3.0,5.0,1.0,4960.0,53.9,8.0,Individual,0.0,1.0
6880,15000.0, 60 months,10.78,324.5,B,3 years,MORTGAGE,38000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,19.93,0.0,Oct-2000,685.0,689.0,0.0,9.0,0.0,15297.0,74.6,23.0,Individual,3.0,0.0
2017,12000.0, 60 months,12.88,272.31,C,6 years,MORTGAGE,92000.0,Not Verified,Dec-2015,Fully Paid,credit_card,9.94,0.0,Jun-1998,690.0,694.0,2.0,14.0,0.0,7066.0,42.8,32.0,Individual,5.0,0.0
9097,13800.0, 60 months,18.49,354.12,E,< 1 year,MORTGAGE,86000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,21.2,0.0,Oct-2003,685.0,689.0,2.0,15.0,0.0,22413.0,65.0,29.0,Individual,2.0,0.0
2012,25500.0, 60 months,18.99,661.35,E,10+ years,MORTGAGE,51000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,7.65,0.0,Nov-1998,720.0,724.0,0.0,7.0,0.0,40652.0,90.7,13.0,Individual,4.0,0.0
9927,18000.0, 36 months,8.38,567.22,B,10+ years,RENT,95000.0,Not Verified,Dec-2015,Fully Paid,credit_card,20.5,0.0,May-1991,670.0,674.0,0.0,25.0,0.0,29252.0,42.7,40.0,Individual,0.0,0.0
1811,11050.0, 60 months,22.45,308.03,F,10+ years,MORTGAGE,80000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,38.36,0.0,Dec-1990,710.0,714.0,2.0,14.0,0.0,57374.0,92.2,23.0,Individual,4.0,0.0
6587,3600.0, 36 months,14.85,124.54,C,3 years,RENT,62200.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,20.48,0.0,Nov-2009,690.0,694.0,3.0,17.0,1.0,6407.0,29.3,22.0,Individual,0.0,0.0
5329,10000.0, 36 months,17.27,357.88,D,10+ years,RENT,46800.0,Verified,Dec-2015,Fully Paid,small_business,11.69,2.0,Jul-2004,660.0,664.0,1.0,11.0,0.0,4190.0,24.4,19.0,Individual,0.0,0.0
1909,3500.0, 36 months,13.44,118.68,C,4 years,RENT,47000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,32.53,2.0,Oct-1995,670.0,674.0,0.0,14.0,1.0,2159.0,10.4,28.0,Individual,0.0,0.0
9228,20000.0, 36 months,9.76,643.1,B,10+ years,RENT,85000.0,Verified,Dec-2015,Fully Paid,credit_card,20.29,0.0,Jul-1997,685.0,689.0,0.0,7.0,0.0,20705.0,76.7,27.0,Individual,0.0,0.0
9383,17500.0, 36 months,10.64,569.95,B,10+ years,RENT,85000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,32.3,0.0,Jun-1998,685.0,689.0,3.0,18.0,0.0,26338.0,83.3,50.0,Individual,0.0,0.0
1262,13200.0, 60 months,8.49,270.76,B,10+ years,MORTGAGE,108000.0,Not Verified,Dec-2015,Late (31-120 days),home_improvement,24.82,0.0,Feb-2001,710.0,714.0,0.0,18.0,0.0,72761.0,58.8,27.0,Individual,1.0,0.0
3168,10400.0, 60 months,12.88,236.0,C,5 years,RENT,52000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,8.7,0.0,Apr-1992,805.0,809.0,0.0,15.0,0.0,4178.0,10.3,26.0,Individual,0.0,0.0
5764,32000.0, 60 months,9.17,666.92,B,5 years,MORTGAGE,125000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,11.7,0.0,Jun-2004,690.0,694.0,0.0,18.0,1.0,75512.0,75.2,42.0,Individual,1.0,0.0
2489,14000.0, 36 months,15.77,490.62,D,< 1 year,RENT,67200.0,Source Verified,Dec-2015,Charged Off,other,7.86,0.0,Aug-2000,670.0,674.0,1.0,7.0,0.0,5461.0,45.9,19.0,Individual,0.0,0.0
1812,20000.0, 36 months,9.8,643.47,B,,MORTGAGE,78000.0,Not Verified,Dec-2015,Fully Paid,credit_card,16.74,0.0,Jun-1999,670.0,674.0,0.0,10.0,0.0,3295.0,78.5,25.0,Individual,4.0,0.0
6786,15950.0, 60 months,13.99,371.05,C,7 years,RENT,65000.0,Not Verified,Dec-2015,Fully Paid,credit_card,33.15,0.0,Dec-2004,680.0,684.0,2.0,14.0,0.0,13333.0,38.5,36.0,Individual,0.0,0.0
3368,5000.0, 36 months,11.99,166.05,C,2 years,RENT,108250.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,29.85,0.0,Apr-1995,705.0,709.0,0.0,31.0,0.0,642.0,6.6,68.0,Individual,1.0,0.0
7655,12000.0, 36 months,7.89,375.43,A,7 years,RENT,40899.0,Source Verified,Dec-2015,Fully Paid,credit_card,12.53,0.0,Nov-2002,685.0,689.0,1.0,10.0,0.0,11605.0,39.3,22.0,Individual,0.0,0.0
7146,20000.0, 36 months,7.91,625.9,A,9 years,OWN,70000.0,Source Verified,Dec-2015,Charged Off,credit_card,25.37,0.0,Mar-1977,700.0,704.0,1.0,19.0,0.0,32273.0,52.1,38.0,Individual,0.0,0.0
5721,20000.0, 36 months,9.17,637.58,B,10+ years,MORTGAGE,100000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,26.37,0.0,Jun-2006,670.0,674.0,0.0,23.0,0.0,25246.0,35.0,48.0,Individual,1.0,0.0
1676,10000.0, 36 months,12.88,336.37,C,10+ years,MORTGAGE,62000.0,Verified,Dec-2015,Fully Paid,home_improvement,22.18,0.0,Apr-2001,680.0,684.0,3.0,18.0,0.0,14682.0,55.6,35.0,Individual,1.0,0.0
1423,7200.0, 36 months,11.48,237.36,B,9 years,RENT,69460.0,Verified,Dec-2015,Fully Paid,debt_consolidation,22.98,1.0,Oct-1995,665.0,669.0,1.0,8.0,0.0,12474.0,99.8,20.0,Individual,0.0,0.0
7572,12000.0, 36 months,7.89,375.43,A,10+ years,MORTGAGE,52000.0,Not Verified,Dec-2015,Fully Paid,credit_card,20.03,0.0,Jun-1992,725.0,729.0,0.0,13.0,0.0,13305.0,38.6,29.0,Individual,1.0,0.0
8413,17625.0, 60 months,20.99,476.72,E,,MORTGAGE,42000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,27.03,0.0,Aug-1989,675.0,679.0,1.0,11.0,2.0,9405.0,59.5,24.0,Individual,3.0,2.0
7527,15000.0, 36 months,10.64,488.53,B,< 1 year,OWN,125000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,31.36,0.0,Aug-2002,675.0,679.0,1.0,22.0,0.0,41486.0,67.6,35.0,Individual,3.0,0.0
4382,13500.0, 36 months,6.99,416.78,A,,MORTGAGE,96000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,12.85,0.0,Jun-1999,690.0,694.0,0.0,9.0,0.0,13983.0,67.9,19.0,Individual,3.0,0.0
445,5000.0, 36 months,6.49,153.23,A,10+ years,OWN,55000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,29.15,0.0,Sep-2007,700.0,704.0,0.0,9.0,1.0,11449.0,42.2,15.0,Individual,0.0,1.0
1660,8000.0, 36 months,10.78,261.08,B,10+ years,MORTGAGE,53000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,23.19,0.0,Jul-2002,700.0,704.0,1.0,10.0,1.0,19213.0,47.4,14.0,Individual,0.0,1.0
7511,6500.0, 36 months,7.89,203.36,A,9 years,MORTGAGE,45000.0,Verified,Dec-2015,Fully Paid,credit_card,28.43,1.0,Apr-2005,700.0,704.0,1.0,18.0,0.0,9939.0,43.8,39.0,Individual,3.0,0.0
3017,28000.0, 60 months,15.77,677.49,D,5 years,MORTGAGE,90000.0,Verified,Dec-2015,Charged Off,debt_consolidation,36.36,0.0,Jun-2006,705.0,709.0,2.0,9.0,0.0,15938.0,37.8,14.0,Individual,1.0,0.0
1900,7525.0, 36 months,18.99,275.8,E,3 years,OWN,20930.0,Verified,Dec-2015,Fully Paid,other,31.6,0.0,Jul-2012,735.0,739.0,0.0,8.0,0.0,2135.0,21.6,9.0,Individual,0.0,0.0
5199,19200.0, 36 months,5.32,578.21,A,10+ years,MORTGAGE,75000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,3.05,0.0,Aug-2000,705.0,709.0,0.0,11.0,0.0,2994.0,11.1,22.0,Individual,4.0,0.0
